AA;0.85;0.73;0.64;0.56;0.49;0.44;0.39;0.35;0.31;
AKs;0.67;0.51;0.41;0.35;0.31;0.28;0.25;0.23;0.21;
AKo;0.65;0.48;0.39;0.32;0.28;0.24;0.22;0.19;0.17;
AQs;0.66;0.49;0.40;0.34;0.29;0.26;0.23;0.21;0.19;
AQo;0.65;0.47;0.37;0.30;0.26;0.23;0.20;0.18;0.16;
AJs;0.65;0.48;0.39;0.32;0.28;0.25;0.22;0.20;0.18;
AJo;0.64;0.46;0.35;0.29;0.24;0.21;0.18;0.16;0.14;
ATs;0.65;0.47;0.37;0.31;0.27;0.24;0.21;0.19;0.17;
ATo;0.63;0.44;0.34;0.28;0.23;0.20;0.17;0.15;0.13;
A9s;0.63;0.45;0.35;0.28;0.24;0.21;0.19;0.17;0.15;
A9o;0.61;0.42;0.31;0.25;0.20;0.17;0.15;0.13;0.11;
A8s;0.62;0.44;0.34;0.27;0.23;0.20;0.18;0.16;0.15;
A8o;0.60;0.41;0.30;0.24;0.19;0.16;0.14;0.12;0.11;
A7s;0.61;0.43;0.33;0.27;0.23;0.20;0.17;0.16;0.14;
A7o;0.59;0.39;0.29;0.23;0.18;0.15;0.13;0.11;0.10;
A6s;0.60;0.41;0.31;0.26;0.22;0.19;0.17;0.15;0.14;
A6o;0.58;0.38;0.28;0.22;0.18;0.15;0.13;0.11;0.10;
A5s;0.60;0.41;0.32;0.26;0.22;0.20;0.18;0.16;0.15;
A5o;0.58;0.38;0.28;0.22;0.18;0.15;0.13;0.12;0.10;
A4s;0.59;0.40;0.31;0.25;0.22;0.19;0.17;0.16;0.14;
A4o;0.56;0.37;0.27;0.21;0.17;0.15;0.13;0.11;0.10;
A3s;0.58;0.39;0.30;0.25;0.21;0.19;0.17;0.15;0.14;
A3o;0.56;0.36;0.26;0.20;0.17;0.14;0.12;0.11;0.10;
A2s;0.57;0.39;0.29;0.24;0.20;0.18;0.16;0.15;0.13;
A2o;0.55;0.35;0.25;0.20;0.16;0.14;0.12;0.10;0.09;
KK;0.82;0.69;0.58;0.50;0.43;0.38;0.33;0.29;0.26;
KQs;0.63;0.47;0.38;0.33;0.28;0.25;0.23;0.20;0.19;
KQo;0.61;0.44;0.35;0.29;0.25;0.22;0.19;0.17;0.15;
KJs;0.63;0.46;0.37;0.31;0.27;0.24;0.21;0.19;0.18;
KJo;0.61;0.43;0.34;0.28;0.24;0.20;0.18;0.16;0.14;
KTs;0.62;0.45;0.36;0.30;0.26;0.23;0.20;0.19;0.17;
KTo;0.60;0.42;0.33;0.27;0.22;0.19;0.17;0.15;0.13;
K9s;0.60;0.42;0.33;0.27;0.23;0.20;0.18;0.16;0.15;
K9o;0.58;0.40;0.30;0.24;0.20;0.17;0.14;0.12;0.11;
K8s;0.59;0.40;0.31;0.25;0.21;0.19;0.17;0.15;0.14;
K8o;0.56;0.37;0.27;0.21;0.17;0.15;0.13;0.11;0.09;
K7s;0.58;0.39;0.30;0.25;0.21;0.18;0.16;0.15;0.13;
K7o;0.55;0.36;0.26;0.21;0.17;0.14;0.12;0.10;0.09;
K6s;0.57;0.38;0.29;0.24;0.20;0.18;0.16;0.14;0.13;
K6o;0.54;0.35;0.25;0.20;0.16;0.13;0.11;0.10;0.09;
K5s;0.56;0.37;0.28;0.23;0.20;0.17;0.15;0.14;0.13;
K5o;0.53;0.34;0.25;0.19;0.15;0.13;0.11;0.10;0.08;
K4s;0.55;0.36;0.27;0.22;0.19;0.17;0.15;0.13;0.12;
K4o;0.52;0.33;0.23;0.18;0.15;0.12;0.11;0.09;0.08;
K3s;0.54;0.36;0.27;0.22;0.18;0.16;0.15;0.13;0.12;
K3o;0.51;0.32;0.23;0.18;0.14;0.12;0.10;0.09;0.08;
